Controller,n_corners,rmse_median,rmse_max,peak_max,rho_max,unstable_rate
Proposed,16,0.0228669,1.48358,23.4205,0.982912,0.0625
PDL-Hinf(d=0.95),16,0.068502,1202.94,22747.5,0.96748,0.125
PDL-Hinf(d=0.90),16,0.099751,4770.51,75013.4,0.941476,0.1875
PDL-Hinf(d=0.85),16,0.130209,10476.5,101404,0.919349,0.25
