Controller,n_corners,rmse_median,rmse_max,peak_max,rho_max,unstable_rate
Proposed,16,0.032978,3.25781,58.2384,0.981897,0.0625
NoRelax-ProposedActive,16,0.0474402,1042.35,18774.9,0.975213,0.125
QS-Hinf,16,0.0967092,0.217738,0.544121,0.997978,0
PDL-Hinf,16,0.0795502,3168.72,33693.8,0.968582,0.125
RobustLQR,16,0.0491364,0.0796634,0.221107,0.990432,0
Core-CQLF-Hinf,16,0.0904326,0.204462,0.507521,0.99747,0
