Controller,n_corners,rmse_median,rmse_max,peak_max,rho_max,unstable_rate
Proposed,16,0.0234078,1.63476,28.0631,0.981897,0.0625
NoRelax-ProposedActive,16,0.0449085,530.616,8864.58,0.975213,0.0625
QS-Hinf,16,0.0525439,0.153758,0.409778,0.997978,0
PDL-Hinf,16,0.0692596,1171.2,21702.7,0.968582,0.125
RobustLQR,16,0.0271587,0.0638702,0.178824,0.990432,0
Core-CQLF-Hinf,16,0.0465088,0.150156,0.383823,0.99747,0
