trial,Controller,RMSE_theta,RMSE_theta_max,IAE_theta,peak_theta,peak_theta_mean,peak_u,peak_uabs,energy_u,energy_uabs,energy_z,duty_du,duty_abs,duty_normsat,rho,unstable
32,PDL-Hinf,0.0822159,0.0953095,0.873224,0.274258,0.259706,0.49966,0.717216,0.133771,0.636167,50.1514,0,0.08,0.0433333,0.962189,0
32,RobustLQR,0.0329351,0.0482944,0.399493,0.100535,0.0680112,0.423489,0.410626,0.0501798,0.255589,12.9212,0,0.0466667,0,0.986002,0
32,Core-CQLF-Hinf,0.0342056,0.0525606,0.427804,0.107022,0.0656313,0.400122,0.412742,0.0353139,0.216162,12.7682,0,0.0366667,0,0.99392,0
33,Proposed,0.0230171,0.0300511,0.255019,0.0860688,0.0651923,0.461137,0.422897,0.0607752,0.391358,23.4774,0,0.08,0,0.950504,0
33,NoRelax-ProposedActive,0.0465294,0.0546746,0.478651,0.222859,0.159957,0.513275,0.539204,0.110375,0.577613,31.262,0,0.12,0.0133333,0.936344,0
33,QS-Hinf,0.0247747,0.0338695,0.291181,0.0833471,0.0607819,0.39921,0.413302,0.0356776,0.263888,19.3485,0,0.04,0,0.989949,0
33,PDL-Hinf,0.0674969,0.094123,0.651737,0.380072,0.246938,0.8,0.696613,0.18402,0.961553,40.5903,0.00333333,0.193333,0.0933333,0.919888,0
33,RobustLQR,0.0169014,0.0227577,0.194983,0.0770841,0.0462606,0.416036,0.412515,0.0496112,0.29929,15.7993,0,0.0633333,0,0.973537,0
33,Core-CQLF-Hinf,0.0248936,0.033673,0.291376,0.0820034,0.0599732,0.400122,0.413672,0.0369846,0.273014,20.054,0,0.05,0,0.988116,0
34,Proposed,0.0150949,0.0180127,0.17284,0.0418512,0.0410403,0.400206,0.423922,0.0593126,0.176146,20.0967,0,0.04,0,0.955179,0
34,NoRelax-ProposedActive,0.0381363,0.0436525,0.406745,0.128362,0.122399,0.48903,0.463552,0.154908,0.236578,27.1853,0,0.05,0,0.939872,0
34,QS-Hinf,0.0266019,0.0333437,0.331559,0.0584077,0.0544699,0.39921,0.40078,0.030806,0.120081,14.0405,0,0,0,0.992606,0
34,PDL-Hinf,0.0551278,0.0654409,0.571846,0.205828,0.1891,0.702358,0.494248,0.233008,0.324707,33.8273,0,0.07,0.00666667,0.921065,0
34,RobustLQR,0.0239194,0.0305895,0.283474,0.0601464,0.0523344,0.401733,0.404954,0.0450843,0.147802,13.2788,0,0.0333333,0,0.976661,0
34,Core-CQLF-Hinf,0.0236139,0.0281226,0.293321,0.0548069,0.0501736,0.400122,0.404465,0.0322652,0.127715,14.7635,0,0.01,0,0.991274,0
35,Proposed,0.014566,0.0168442,0.168225,0.0498395,0.0410597,0.400206,0.427476,0.0609869,0.224612,20.609,0,0.0433333,0,0.965752,0
35,NoRelax-ProposedActive,0.0416309,0.0467324,0.44698,0.134764,0.130127,0.620139,0.46999,0.140896,0.277603,29.2709,0,0.0566667,0,0.955185,0
35,QS-Hinf,0.0364042,0.0497187,0.447199,0.0899047,0.0704689,0.39921,0.404266,0.0329483,0.150363,13.5347,0,0.00666667,0,0.993981,0
35,PDL-Hinf,0.0625271,0.0727537,0.654033,0.224176,0.209532,0.633094,0.509627,0.207082,0.354809,38.1034,0,0.0733333,0.01,0.943837,0
35,RobustLQR,0.0300512,0.0394952,0.354337,0.0768547,0.0639328,0.401733,0.409616,0.0460797,0.18663,13.0822,0,0.0366667,0,0.981234,0
35,Core-CQLF-Hinf,0.0322423,0.0438691,0.39414,0.0773687,0.0635803,0.400122,0.405129,0.0346282,0.159946,14.1972,0,0.02,0,0.992838,0
36,Proposed,0.0160932,0.0224429,0.180343,0.0783854,0.0507109,0.400206,0.480856,0.051838,0.346313,16.7828,0,0.0433333,0,0.922204,0
36,NoRelax-ProposedActive,0.028988,0.0332946,0.312697,0.0987247,0.0940504,0.439152,0.562299,0.102354,0.483022,21.4005,0,0.0533333,0.0233333,0.905581,0
36,QS-Hinf,0.0307551,0.041652,0.387684,0.0891242,0.0701251,0.39921,0.418583,0.0297456,0.205628,10.5985,0,0.0266667,0,0.992826,0
36,PDL-Hinf,0.0398956,0.0480164,0.412424,0.150972,0.143605,0.404702,0.635021,0.154839,0.666874,25.0697,0,0.0666667,0.0366667,0.897398,0
36,RobustLQR,0.0247479,0.0321394,0.299396,0.0835351,0.0590471,0.401733,0.421922,0.0425341,0.245826,11.4437,0,0.0366667,0,0.971095,0
36,Core-CQLF-Hinf,0.0290455,0.0396686,0.365958,0.087722,0.0669682,0.400122,0.42038,0.0312619,0.217061,11.1646,0,0.03,0,0.991598,0
37,Proposed,0.0257715,0.0311494,0.294302,0.0741717,0.0666054,0.400206,0.416438,0.0587051,0.311122,25.0351,0,0.0466667,0,0.956539,0
37,NoRelax-ProposedActive,0.0524008,0.0600459,0.559564,0.181735,0.160148,0.503148,0.446702,0.14798,0.460657,34.8134,0,0.06,0,0.946262,0
37,QS-Hinf,0.0300796,0.036747,0.380851,0.0853309,0.0645549,0.39921,0.401678,0.0313226,0.206362,21.7986,0,0.00333333,0,0.987493,0
37,PDL-Hinf,0.073087,0.0841654,0.760068,0.310603,0.244987,0.707906,0.636375,0.236997,0.666519,44.7514,0,0.103333,0,0.934065,0
37,RobustLQR,0.0149268,0.018717,0.178298,0.0484817,0.0358998,0.401733,0.412821,0.0454715,0.223544,15.9063,0,0.0366667,0,0.976208,0
37,Core-CQLF-Hinf,0.0320222,0.0385609,0.409907,0.0869755,0.0667043,0.400122,0.412619,0.0325856,0.216647,22.7646,0,0.0133333,0,0.983639,0
38,Proposed,0.0133382,0.0149717,0.150553,0.0691678,0.0413338,0.453105,0.454587,0.0624689,0.319542,19.3374,0,0.0466667,0,0.9678,0
38,NoRelax-ProposedActive,0.0393556,0.044011,0.425611,0.12701,0.123249,0.606893,0.513962,0.119821,0.372798,27.8501,0,0.0533333,0.01,0.957354,0
38,QS-Hinf,0.0461103,0.0630984,0.57696,0.117611,0.0862352,0.39921,0.412526,0.0336792,0.197674,11.6573,0,0.0233333,0,0.994873,0
38,PDL-Hinf,0.0605792,0.0707112,0.634879,0.215227,0.204347,0.693559,0.579853,0.18182,0.456169,36.6043,0,0.0666667,0.03,0.946257,0
38,RobustLQR,0.0349265,0.0463823,0.414033,0.0892939,0.0731842,0.401733,0.420279,0.0484177,0.251733,12.136,0,0.0433333,0,0.982512,0
38,Core-CQLF-Hinf,0.0417839,0.0576876,0.518389,0.105179,0.0792738,0.400122,0.413578,0.0354517,0.210305,12.22,0,0.0266667,0,0.993873,0
39,Proposed,0.0177008,0.0231229,0.195004,0.0723384,0.0506013,0.400206,0.412874,0.0582252,0.328879,20.2487,0,0.0733333,0,0.926101,0
39,NoRelax-ProposedActive,0.033961,0.040407,0.343321,0.177529,0.123474,0.564252,0.476309,0.115457,0.467232,24.6536,0,0.11,0.00666667,0.891981,0
39,QS-Hinf,0.0252877,0.0374749,0.30302,0.0860016,0.061857,0.39921,0.409732,0.0358944,0.228875,17.6298,0,0.0333333,0,0.989881,0
39,PDL-Hinf,0.0478881,0.0665612,0.452001,0.289768,0.186997,0.671158,0.623484,0.183397,0.744133,29.5843,0,0.156667,0.07,0.873657,0
39,RobustLQR,0.015777,0.0191183,0.176045,0.0765573,0.0471472,0.401733,0.409039,0.0478242,0.261053,14.9396,0,0.0566667,0,0.965896,0
39,Core-CQLF-Hinf,0.0242632,0.0353618,0.292568,0.088077,0.0606961,0.400122,0.40998,0.0365429,0.236756,18.1197,0,0.05,0,0.988263,0
40,Proposed,0.0211582,0.0258686,0.248671,0.0559618,0.0515271,0.400206,0.436466,0.0564279,0.196345,23.0848,0,0.03,0,0.969412,0
40,NoRelax-ProposedActive,0.0517533,0.0572682,0.561224,0.155104,0.150746,0.52043,0.505986,0.150036,0.286184,34.2811,0,0.0433333,0,0.961405,0
40,QS-Hinf,0.0259193,0.0313464,0.321826,0.063032,0.0542413,0.39921,0.403305,0.0289648,0.128282,14.2536,0,0,0,0.993147,0
40,PDL-Hinf,0.075665,0.0863716,0.803674,0.249015,0.239446,0.655732,0.574379,0.227376,0.409199,45.9232,0,0.0533333,0.0133333,0.952954,0
40,RobustLQR,0.0261018,0.03474,0.318139,0.0641347,0.0538045,0.401733,0.406373,0.0416922,0.152292,13.546,0,0.0233333,0,0.982742,0
40,Core-CQLF-Hinf,0.0229145,0.0275696,0.281167,0.0597587,0.0503032,0.400122,0.40718,0.0301931,0.136008,15.216,0,0.01,0,0.991747,0
41,Proposed,0.0204918,0.0237845,0.237342,0.0582143,0.0535477,0.400206,0.410763,0.0592181,0.18885,23.9664,0,0.0433333,0,0.968459,0
41,NoRelax-ProposedActive,0.0508903,0.0566928,0.546006,0.169302,0.154016,0.477359,0.435659,0.140999,0.255903,34.5998,0,0.0566667,0,0.960178,0
41,QS-Hinf,0.024386,0.0289902,0.29885,0.0554051,0.0494188,0.39921,0.401285,0.0331342,0.133351,17.4467,0,0.00666667,0,0.992726,0
41,PDL-Hinf,0.0743908,0.0848832,0.779977,0.293469,0.244982,0.580388,0.467554,0.223601,0.369385,45.9091,0,0.0866667,0.00333333,0.951418,0
41,RobustLQR,0.0246802,0.0325829,0.291847,0.0631788,0.0525104,0.401733,0.402348,0.0500597,0.162443,14.8617,0,0.0333333,0,0.981964,0
41,Core-CQLF-Hinf,0.0209839,0.0226107,0.256294,0.0518415,0.0447265,0.400122,0.401924,0.0343236,0.140638,18.3162,0,0.0233333,0,0.991297,0
42,Proposed,0.0225324,0.0320629,0.257699,0.0872226,0.0646875,0.457488,0.479913,0.0552973,0.513631,19.5779,0,0.0433333,0,0.932386,0
42,NoRelax-ProposedActive,0.0383798,0.0464369,0.417602,0.125209,0.12117,0.541551,0.571296,0.0989703,0.783229,25.6207,0,0.0566667,0.0266667,0.920275,0
42,QS-Hinf,0.0322706,0.0510068,0.382698,0.104218,0.0735756,0.39921,0.41925,0.0318727,0.273366,14.0978,0,0.0266667,0,0.990889,0
42,PDL-Hinf,0.0506224,0.0623766,0.52941,0.185812,0.176283,0.451166,0.713873,0.150596,1.146,30.4564,0,0.0866667,0.04,0.910701,0
42,RobustLQR,0.0214847,0.0316797,0.253963,0.0919986,0.053689,0.401733,0.424385,0.0455287,0.335577,12.8546,0,0.04,0,0.967652,0
42,Core-CQLF-Hinf,0.0319498,0.0494029,0.380164,0.105809,0.0726871,0.400122,0.420826,0.0334159,0.287581,14.6644,0,0.0333333,0,0.989274,0
