trial,RMSE_theta,RMSE_theta_max,IAE_theta,peak_theta,peak_theta_mean,peak_u,peak_uabs,energy_u,energy_uabs,energy_z,duty_du,duty_abs,duty_normsat,rho,unstable
0,0.021690125560125256,0.04768812521918304,0.21288427931243525,0.2002068958798691,0.07362811750315101,0.3905609543327363,0.43280024428331376,0.028198298699149606,0.17250423911083687,14.104782920741869,0.0,0.013333333333333334,0.013333333333333334,0.9597001234725517,0.0
1,0.019809396189462286,0.04578825342030878,0.19306324246943285,0.20012946202854343,0.06968716516062239,0.39288086104692516,0.4192881219646397,0.029013236284679913,0.13806016263388798,15.912773360436706,0.0,0.013333333333333334,0.013333333333333334,0.9688809125122654,0.0
2,0.015402544336561628,0.041089424437717806,0.13240080459277964,0.1995847299795636,0.06110872503746545,0.40353849537263753,0.4052107177952128,0.0335551874759162,0.08815253182186455,16.45540447740533,0.0,0.013333333333333334,0.013333333333333334,0.952150357688641,0.0
3,0.018086497516075054,0.04398581107283377,0.16728000487001737,0.2002834781087354,0.06545090281835567,0.4003092556114961,0.41154080761654266,0.02960399359435334,0.12850130622106262,15.665189755792163,0.0,0.013333333333333334,0.013333333333333334,0.9521742983131005,0.0
4,0.020414948076651306,0.04643170186474485,0.19900813733071662,0.2002814368694554,0.07081465111531719,0.39655048259370623,0.42207991436096454,0.028596837770731295,0.17021409678747196,16.48738801088126,0.0,0.013333333333333334,0.013333333333333334,0.9714018212533029,0.0
5,0.01877420799832666,0.04423218950286395,0.175446807086603,0.20058505528924417,0.06706861954550979,0.4103247153442175,0.4150920492930284,0.029388277160799465,0.16799612091046345,16.999163621417047,0.0,0.013333333333333334,0.013333333333333334,0.9672285339123905,0.0
6,0.01808165748758588,0.04342174740495407,0.16526539321364905,0.20122668268661456,0.06541277556010283,0.4096336619792279,0.4100135381016936,0.02982717790000603,0.14606889630429062,16.026738683600456,0.0,0.013333333333333334,0.013333333333333334,0.9498423365982489,0.0
7,0.017846854488687863,0.04438080620993098,0.16673966347902996,0.20127620289942375,0.06662240153704332,0.39171519675587796,0.41045824155932403,0.029892125502606018,0.10426989740289408,16.391805135120673,0.0,0.013333333333333334,0.013333333333333334,0.9657591328242807,0.0
8,0.03061851273060175,0.05757035085401568,0.34651080716848476,0.20365180126926075,0.08714178345737855,0.3808063252237176,0.470803198755248,0.026447534067436124,0.481579580725062,13.988059638618815,0.0,0.02,0.013333333333333334,0.9808230106040848,0.0
9,0.028461130539963297,0.054772647328219265,0.30798072646806174,0.20121725129139464,0.0848012094078405,0.39256091391759484,0.47020263910040266,0.026494132005179166,0.39875359087733514,13.970322819097337,0.0,0.02,0.013333333333333334,0.9755173427826161,0.0
10,0.018967137427327526,0.042923202796137414,0.1712914013130291,0.20118338920689988,0.06687844097724702,0.42835531674046007,0.41754664086396026,0.030731331542405857,0.24804867165968597,16.918983089832647,0.0,0.013333333333333334,0.013333333333333334,0.9343737572282889,0.0
11,0.020888319935378964,0.04676659661034846,0.2026140757968294,0.20068898634959761,0.07342588073386296,0.3949333995061292,0.4286783409698502,0.030129389516322738,0.14145452418805404,14.284946907435524,0.0,0.013333333333333334,0.013333333333333334,0.9612793002114882,0.0
12,0.025923124687398304,0.05148764365406221,0.26754332107921897,0.2009467416087341,0.08169684626868465,0.39165697621198337,0.4637214533947175,0.02701496839252178,0.3026275254276217,13.097914577207014,0.0,0.013333333333333334,0.013333333333333334,0.9636476376586994,0.0
13,0.026735586698916944,0.052176864049373876,0.2755974508529453,0.20249868970961282,0.08124388547776376,0.38828395796801607,0.4678278772132248,0.026747750801583616,0.4021052075972471,14.21724347842175,0.0,0.02,0.013333333333333334,0.9637127218704118,0.0
14,0.02103510039673534,0.04709612680602685,0.20933908014763647,0.2002967681117977,0.07299344244266764,0.38992610112246945,0.42555698630509603,0.029334177009895136,0.1451782141698719,14.91588094660154,0.0,0.013333333333333334,0.013333333333333334,0.9674014637655731,0.0
15,0.014492329448682326,0.03932460945213597,0.11952113872110777,0.19977336647303093,0.0604462502893344,0.41107190095998153,0.4097270895972573,0.036262428662783446,0.12745148047256002,18.79429788884212,0.0,0.013333333333333334,0.013333333333333334,0.9635343016224227,0.0
16,0.01873900872765312,0.043766780691515655,0.17368599831849618,0.19959929354698328,0.0662029514285982,0.40775071260779316,0.41479921162924616,0.029624135847660844,0.15568765411900096,15.05233115861316,0.0,0.013333333333333334,0.013333333333333334,0.9418467405959474,0.0
17,0.015701701189399193,0.042287838709343994,0.13842899317221238,0.1986745714224696,0.06328038182931553,0.39567175223359424,0.4041259913955991,0.03489850490507327,0.06840549302374181,16.116712601802856,0.0,0.013333333333333334,0.013333333333333334,0.9616394626263628,0.0
18,0.014882848587429201,0.04136342946185921,0.12502114815493667,0.20023695529078883,0.06110614179607964,0.3912630572574611,0.40382816438773306,0.03368777497322671,0.07765282051326274,15.919280564538283,0.0,0.013333333333333334,0.013333333333333334,0.9478022697262023,0.0
19,0.02903596620445832,0.05651334488118632,0.3057712237956197,0.20435415881769028,0.08830872561505063,0.38235316804800784,0.5041245439308235,0.025563297073214687,0.41408744914330486,13.036867037520445,0.0,0.023333333333333334,0.013333333333333334,0.9674407068534504,0.0
20,0.027225455900420678,0.05287490306819806,0.2940977426973736,0.201504430711859,0.08283196786040983,0.3856806965857035,0.4583799750525146,0.026750323487884566,0.3474729971359658,13.973569809688286,0.0,0.013333333333333334,0.013333333333333334,0.9750030052758052,0.0
21,0.021004272762120576,0.047160921648948716,0.20499175341660672,0.20135311543603568,0.07159588312540784,0.39900909141290863,0.4261025996903917,0.028210520675457526,0.2007138038794586,16.462501746856585,0.0,0.013333333333333334,0.013333333333333334,0.9719166577995343,0.0
22,0.028324321912686242,0.05429114588587597,0.2969832705621802,0.2012117191723071,0.08554740188798439,0.39375095327091153,0.4851854020835971,0.02637181148449143,0.39414589149506574,13.222786481423913,0.0,0.02,0.013333333333333334,0.9675979839559293,0.0
