Controller,finite_rate,unstable_rate,RMSE_theta_median,RMSE_theta_p90,RMSE_theta_p95,RMSE_theta_max,peak_theta_median,peak_theta_p90,peak_theta_max,energy_u_median,energy_u_p90,energy_z_median,energy_z_p90,duty_normsat_p90,rho_max
Proposed,1,0,0.0171649,0.023651,0.0284534,0.0302413,0.0741389,0.105577,0.134619,0.0572271,0.0614816,19.5835,24.5915,0.00366667,0.978673
NoRelax-ProposedActive,1,0,0.0384263,0.0525574,0.0580359,0.0632437,0.12916,0.17798,0.289414,0.119738,0.162113,26.8713,34.9171,0.0336667,0.971843
QS-Hinf,1,0,0.03287,0.0515372,0.0562001,0.0617887,0.0893556,0.130291,0.173417,0.0310674,0.0339667,12.3929,19.3037,0,0.996825
PDL-Hinf,1,0,0.054176,0.0773181,0.0824566,0.0896021,0.214804,0.294699,0.473504,0.183709,0.240876,33.2717,46.9704,0.0573333,0.964912
RobustLQR,1,0,0.0274397,0.038869,0.0419368,0.0465167,0.0779622,0.105681,0.119103,0.044934,0.0495189,12.714,15.2962,0,0.988267
Core-CQLF-Hinf,1,0,0.0307334,0.0483424,0.052251,0.0575172,0.0864343,0.121127,0.16049,0.032572,0.0356441,13.1996,19.9844,0,0.996122
