corner,Controller,RMSE_theta,RMSE_theta_max,peak_theta,peak_u,energy_u,energy_z,duty_normsat,rho,unstable,za_v,m_alpha,m_q,m_de
v1010,Proposed,0.0231861,0.0285345,0.095309,0.8,2.13035,8.11617,0.255,0.926852,0,1.5,-2,2.5,3
v1010,BaselineB,0.0371421,0.0428775,0.118747,0.8,2.52752,10.9074,0.495,0.91546,0,1.5,-2,2.5,3
v1010,NominalLQR,0.0162733,0.0257766,0.0975864,0.694524,1.05809,5.50249,0.02,0.932649,0,1.5,-2,2.5,3
v1010,RobustLQR_WV,0.02096,0.0350086,0.103519,0.8,2.80106,7.02728,0.29,0.959564,0,1.5,-2,2.5,3
v1011,Proposed,0.0422145,0.0463348,0.13611,0.8,2.30574,23.0518,0.86,0.919178,0,1.5,-2,2.5,7.5
v1011,BaselineB,0.064448,0.0667388,0.190048,0.779575,2.02135,33.767,0.955,0.903535,0,1.5,-2,2.5,7.5
v1011,NominalLQR,0.0311073,0.0356842,0.120441,0.758339,2.50756,17.7355,0.765,0.92328,0,1.5,-2,2.5,7.5
v1011,RobustLQR_WV,0.0344571,0.0430294,0.141189,0.8,2.58735,18.5125,0.945,0.961545,0,1.5,-2,2.5,7.5
v1100,Proposed,0.0449999,0.0466525,0.108069,0.8,1.5736,15.9061,0.565,0.952038,0,1.5,5,-0.5,3
v1100,BaselineB,0.224326,0.234475,0.526699,0.8,1.13016,130.562,0.895,0.934845,0,1.5,5,-0.5,3
v1100,NominalLQR,0.0304874,0.0501752,0.152102,0.595356,1.56649,7.68365,0.02,0.958398,0,1.5,5,-0.5,3
v1100,RobustLQR_WV,0.0379489,0.0554587,0.121196,0.758478,2.50526,7.43624,0.325,0.970404,0,1.5,5,-0.5,3
v1101,Proposed,0.31401,0.33197,0.611301,0.8,1.1475,339.55,0.94,0.943854,0,1.5,5,-0.5,7.5
v1101,BaselineB,0.769252,0.796852,1.49445,0.8,0.982905,1426.61,0.975,0.92072,0,1.5,5,-0.5,7.5
v1101,NominalLQR,0.13153,0.138993,0.289024,0.723966,1.45448,98.8837,0.925,0.950492,0,1.5,5,-0.5,7.5
v1101,RobustLQR_WV,0.132524,0.143497,0.300656,0.698912,1.48854,96.9498,0.96,0.966388,0,1.5,5,-0.5,7.5
v1110,Proposed,0.0235753,0.0389096,0.117195,0.8,2.16611,6.85824,0.37,0.956334,0,1.5,5,2.5,3
v1110,BaselineB,0.0257617,0.0316581,0.113593,0.788847,2.71266,8.43719,0.66,0.937472,0,1.5,5,2.5,3
v1110,NominalLQR,0.0250435,0.042271,0.10107,0.623652,1.23326,4.69865,0.02,0.963402,0,1.5,5,2.5,3
v1110,RobustLQR_WV,0.0380067,0.0604204,0.107128,0.8,2.80501,6.03998,0.35,0.974001,0,1.5,5,2.5,3
v1111,Proposed,0.0435136,0.0498521,0.152733,0.798391,2.31317,24.1091,0.895,0.945843,0,1.5,5,2.5,7.5
v1111,BaselineB,0.0546639,0.0586895,0.164389,0.794637,2.15029,32.3878,0.96,0.919285,0,1.5,5,2.5,7.5
v1111,NominalLQR,0.0374905,0.0461284,0.125436,0.78891,2.51493,18.0274,0.81,0.953118,0,1.5,5,2.5,7.5
v1111,RobustLQR_WV,0.0457724,0.0598064,0.143774,0.799238,2.60986,19.69,0.95,0.968314,0,1.5,5,2.5,7.5
