trial,Controller,RMSE_theta,RMSE_theta_max,IAE_theta,peak_theta,peak_theta_mean,peak_u,peak_uabs,energy_u,energy_uabs,energy_z,duty_du,duty_abs,duty_normsat,rho,unstable
30,PDL-Hinf(d=0.85),0.0724599,0.107132,0.67406,0.380545,0.235584,0.8,0.534514,2.56965,1.31287,49.9192,0.00333333,0.196667,0.153333,0.8181,0
31,Proposed,0.0178672,0.0254724,0.193783,0.11937,0.0575973,0.400376,0.565015,0.0467986,0.535316,15.6187,0,0.0533333,0.01,0.962919,0
31,PDL-Hinf(d=0.95),0.0483782,0.0560509,0.50845,0.183646,0.167346,0.40408,0.772454,0.117033,1.05987,29.1772,0,0.116667,0.06,0.921305,0
31,PDL-Hinf(d=0.90),0.0576567,0.0843971,0.570803,0.210424,0.187408,0.415615,0.762153,0.338619,1.50379,36.2981,0,0.183333,0.103333,0.855498,0
31,PDL-Hinf(d=0.85),0.0643368,0.0991648,0.615576,0.236761,0.205995,0.670578,0.789435,0.918766,2.19054,40.3477,0,0.303333,0.19,0.835661,0
32,Proposed,0.0200042,0.0245801,0.223106,0.0913617,0.0574448,0.506043,0.470514,0.0593816,0.29971,22.0645,0,0.0466667,0,0.977216,0
32,PDL-Hinf(d=0.95),0.0815068,0.0953533,0.865815,0.270275,0.255455,0.440107,0.701444,0.13161,0.628757,50.2371,0,0.08,0.0433333,0.960957,0
32,PDL-Hinf(d=0.90),0.0991971,0.137235,1.01456,0.365248,0.301648,0.577701,0.699391,0.389164,1.0716,67.9226,0,0.173333,0.0933333,0.932844,0
32,PDL-Hinf(d=0.85),0.115889,0.166148,1.13937,0.462944,0.343516,0.8,0.7416,0.97394,1.84117,83.6494,0.00666667,0.36,0.256667,0.912305,0
33,Proposed,0.020499,0.0254548,0.225796,0.0777835,0.0584864,0.447377,0.423315,0.0604534,0.381427,22.2623,0,0.08,0,0.954961,0
33,PDL-Hinf(d=0.95),0.0669623,0.0930236,0.647721,0.374259,0.242354,0.8,0.67324,0.185038,0.950989,40.6886,0.00333333,0.193333,0.0966667,0.916706,0
33,PDL-Hinf(d=0.90),7.47301,8.06231,58.7791,25.5548,24.3381,0.618492,0.8,0.190367,6.71525,73772.1,0,0.94,0.9,0.837146,0
33,PDL-Hinf(d=0.85),18.3722,29.6481,149.062,98.365,65.255,0.602303,0.8,0.162111,8.06528,539503,0,0.996667,0.973333,0.807688,1
34,Proposed,0.013545,0.0157776,0.155346,0.0424258,0.0378437,0.400376,0.424657,0.060998,0.175529,19.19,0,0.04,0,0.958907,0
34,PDL-Hinf(d=0.95),0.0548287,0.0661366,0.568037,0.207311,0.186631,0.699014,0.489617,0.231963,0.323569,34.0389,0,0.0733333,0.00666667,0.917123,0
34,PDL-Hinf(d=0.90),0.0671975,0.096979,0.651904,0.320716,0.222232,0.783468,0.505951,0.742421,0.615367,43.9267,0,0.116667,0.07,0.853734,0
34,PDL-Hinf(d=0.85),0.0800177,0.112766,0.748613,0.435852,0.256554,0.8,0.726344,2.2699,1.37878,55.232,0.0133333,0.216667,0.19,0.825351,0
35,Proposed,0.0132713,0.0150831,0.15473,0.0499281,0.0376599,0.400376,0.428103,0.0626145,0.224937,19.6456,0,0.0433333,0,0.968158,0
35,PDL-Hinf(d=0.95),0.0621094,0.073265,0.649108,0.225755,0.206675,0.680732,0.503511,0.209027,0.355056,38.3109,0,0.0733333,0.0166667,0.941744,0
35,PDL-Hinf(d=0.90),0.0757676,0.10924,0.755028,0.320773,0.241667,0.8,0.507091,0.643806,0.59405,50.1413,0.00666667,0.106667,0.05,0.885922,0
35,PDL-Hinf(d=0.85),0.0880073,0.130052,0.838224,0.416643,0.275243,0.8,0.643941,1.88232,1.25649,61.3891,0.00333333,0.226667,0.17,0.832608,0
36,Proposed,0.0156644,0.021785,0.173957,0.0777973,0.0498981,0.400376,0.481059,0.0531642,0.33712,16.1768,0,0.0433333,0,0.937644,0
36,PDL-Hinf(d=0.95),0.0396728,0.0486048,0.409607,0.14984,0.141671,0.40408,0.625583,0.154859,0.665674,25.2373,0,0.0666667,0.0366667,0.896042,0
36,PDL-Hinf(d=0.90),0.0470537,0.0697721,0.451672,0.19266,0.161487,0.619169,0.637198,0.48728,1.00819,29.8088,0,0.13,0.06,0.873152,0
36,PDL-Hinf(d=0.85),0.0536814,0.0788991,0.497483,0.247242,0.178264,0.661846,0.660102,1.374,1.55546,33.3218,0,0.25,0.173333,0.849974,0
37,Proposed,0.0226808,0.0269055,0.25998,0.0638069,0.058701,0.400376,0.416895,0.0597856,0.301012,23.6449,0,0.0433333,0,0.961263,0
37,PDL-Hinf(d=0.95),0.0727599,0.0849136,0.755045,0.313019,0.242443,0.727602,0.629344,0.242448,0.669479,45.015,0,0.106667,0.01,0.93144,0
37,PDL-Hinf(d=0.90),0.0943999,0.135213,0.911903,0.486016,0.298009,0.8,0.671469,0.708492,1.17406,63.7906,0.00666667,0.216667,0.16,0.869023,0
37,PDL-Hinf(d=0.85),0.928979,1.3268,7.42017,5.80832,3.99798,0.8,0.8,0.76083,5.80328,1770.52,0.00666667,0.803333,0.78,0.835355,0
38,Proposed,0.0129065,0.0142266,0.146183,0.0688973,0.0403869,0.429194,0.455803,0.0634594,0.31876,18.4792,0,0.05,0,0.969935,0
38,PDL-Hinf(d=0.95),0.0601128,0.0711275,0.629775,0.212691,0.201271,0.644325,0.571108,0.177688,0.451607,36.7817,0,0.07,0.03,0.944248,0
38,PDL-Hinf(d=0.90),0.0735245,0.107028,0.736131,0.2857,0.233146,0.541572,0.56316,0.491957,0.671195,48.1215,0,0.09,0.0533333,0.892482,0
38,PDL-Hinf(d=0.85),0.0847576,0.128053,0.813977,0.37845,0.265386,0.774307,0.610497,1.45577,1.26096,57.5122,0,0.213333,0.156667,0.846448,0
39,Proposed,0.0159233,0.0194482,0.174824,0.0667679,0.0459098,0.400376,0.413853,0.059242,0.323614,19.412,0,0.0766667,0,0.934328,0
