Controller,gamma_syn_diag,beta,RMSE_theta,RMSE_theta_max,IAE_theta,peak_theta,peak_theta_mean,peak_u,peak_uabs,energy_u,energy_uabs,energy_z,duty_du,duty_abs,duty_normsat,rho
Proposed,1.50743,3.82573,0.0186858,0.0222663,0.14111,0.066095,0.0483206,0.41668,0.449275,0.0527409,0.21349,16.0668,0,0.055,0,0.954388
NoRelax-ProposedActive,5.10264,0,0.0428539,0.047615,0.314397,0.122312,0.117808,0.701585,0.514613,0.1023,0.2765,21.8054,0,0.075,0.015,0.937636
QS-Hinf,0.460673,,0.0249389,0.0438318,0.218061,0.0751229,0.0447719,0.39921,0.409748,0.0310323,0.146813,9.7175,0,0.03,0,0.993125
PDL-Hinf,5.01194,,0.0614996,0.0702478,0.432532,0.19216,0.182568,0.647647,0.574278,0.13869,0.379666,27.1319,0,0.085,0.04,0.915858
RobustLQR,,,0.0259873,0.0415011,0.226561,0.0683237,0.0468494,0.401733,0.412303,0.043372,0.178235,10.2721,0,0.05,0,0.976843
Core-CQLF-Hinf,0.437776,,0.0218299,0.0390799,0.191928,0.073409,0.042143,0.400122,0.41251,0.0326952,0.155354,10.3663,0,0.04,0,0.991876
