Controller,n_corners,rmse_median,rmse_max,peak_max,rho_max,unstable_rate
Proposed,16,0.0259998,298.437,5254.79,0.981897,0.0625
NoRelax-ProposedActive,16,0.0468361,918.49,18131,0.975213,0.0625
QS-Hinf,16,0.0535732,0.153667,0.440045,0.997978,0
PDL-Hinf,16,0.0776566,2095.09,31428.2,0.968582,0.125
RobustLQR,16,0.0311192,0.423605,7.71997,0.990432,0
Core-CQLF-Hinf,16,0.0476864,0.152802,0.413187,0.99747,0
