corner,Controller,RMSE_theta,RMSE_theta_max,peak_theta,peak_u,energy_u,energy_z,duty_normsat,rho,unstable,za_v,m_alpha,m_q,m_de
v0110,PDL-Hinf,0.0602304,0.08391,0.179009,0.437491,0.108208,24.1087,0.305,0.968391,0,0.5,5,2.5,3
v0110,RobustLQR,0.0648379,0.0965389,0.150637,0.464607,0.0913163,6.03251,0.005,0.990432,0,0.5,5,2.5,3
v0110,Core-CQLF-Hinf,0.0828959,0.125421,0.205056,0.40013,0.0658011,3.80301,0,0.99747,0,0.5,5,2.5,3
v0111,Proposed,0.019429,0.0255494,0.0764585,0.50151,0.104915,17.0933,0,0.978261,0,0.5,5,2.5,7.5
v0111,NoRelax-ProposedActive,0.0555352,0.0594925,0.136722,0.606479,0.100505,27.3103,0.035,0.971745,0,0.5,5,2.5,7.5
v0111,QS-Hinf,0.0548492,0.0855531,0.14052,0.398686,0.0669318,6.84201,0,0.996319,0,0.5,5,2.5,7.5
v0111,PDL-Hinf,0.0877218,0.0949047,0.238588,0.623376,0.0876269,38.7257,0.065,0.965138,0,0.5,5,2.5,7.5
v0111,RobustLQR,0.0440667,0.0653242,0.102425,0.410129,0.100443,8.88287,0,0.987849,0,0.5,5,2.5,7.5
v0111,Core-CQLF-Hinf,0.0493544,0.078256,0.127109,0.40013,0.071448,7.42939,0,0.995527,0,0.5,5,2.5,7.5
v1000,Proposed,0.106313,0.302164,0.992878,0.690476,0.176366,52.9399,0.435,0.909214,0,1.5,-2,-0.5,3
v1000,NoRelax-ProposedActive,1.47546,2.82831,13.9003,0.753966,0.216825,3466.85,0.82,0.918012,0,1.5,-2,-0.5,3
v1000,QS-Hinf,0.0904119,0.138857,0.224959,0.501067,0.0932085,30.9932,0,0.975308,0,1.5,-2,-0.5,3
v1000,PDL-Hinf,74.711,120.206,575.526,0.718316,0.200493,7.40848e+06,0.88,0.910722,1,1.5,-2,-0.5,3
v1000,RobustLQR,0.0320779,0.0763674,0.205875,0.568276,0.120967,19.3159,0.04,0.943593,0,1.5,-2,-0.5,3
v1000,Core-CQLF-Hinf,0.0905706,0.144473,0.247083,0.52446,0.0970023,31.3434,0,0.974028,0,1.5,-2,-0.5,3
v1001,Proposed,0.0257218,0.0455182,0.161269,0.566362,0.121392,18.6741,0.035,0.9076,0,1.5,-2,-0.5,7.5
v1001,NoRelax-ProposedActive,0.0466679,0.0871199,0.314825,0.695068,0.164803,24.1367,0.105,0.894614,0,1.5,-2,-0.5,7.5
v1001,QS-Hinf,0.0313994,0.0435299,0.0855041,0.398686,0.0815882,19.2325,0,0.987848,0,1.5,-2,-0.5,7.5
v1001,PDL-Hinf,0.0766067,0.174799,0.496673,0.8,0.372776,40.4877,0.34,0.886045,0,1.5,-2,-0.5,7.5
v1001,RobustLQR,0.00831738,0.01748,0.0558503,0.474309,0.109702,13.922,0.005,0.961958,0,1.5,-2,-0.5,7.5
v1001,Core-CQLF-Hinf,0.0332641,0.0474322,0.0846917,0.415548,0.0859902,19.7211,0,0.985967,0,1.5,-2,-0.5,7.5
v1010,Proposed,0.030491,0.0434942,0.123624,0.482504,0.0825774,15.415,0.03,0.93304,0,1.5,-2,2.5,3
v1010,NoRelax-ProposedActive,0.0434905,0.0522288,0.123822,0.40064,0.103482,19.7284,0.06,0.922191,0,1.5,-2,2.5,3
v1010,QS-Hinf,0.0351368,0.0619331,0.128724,0.41605,0.0739082,9.87753,0,0.991622,0,1.5,-2,2.5,3
v1010,PDL-Hinf,0.0599747,0.0639398,0.189689,0.56889,0.247514,24.2329,0.16,0.913631,0,1.5,-2,2.5,3
v1010,RobustLQR,0.0254659,0.0419932,0.128295,0.542168,0.100804,10.0144,0,0.964528,0,1.5,-2,2.5,3
v1010,Core-CQLF-Hinf,0.0352227,0.0605438,0.128352,0.433057,0.07764,10.3267,0,0.990191,0,1.5,-2,2.5,3
v1011,Proposed,0.0192598,0.0234024,0.062462,0.528026,0.103494,15.4996,0,0.920882,0,1.5,-2,2.5,7.5
v1011,NoRelax-ProposedActive,0.0357073,0.0395921,0.112605,0.562263,0.117039,19.0789,0.005,0.909507,0,1.5,-2,2.5,7.5
v1011,QS-Hinf,0.0197187,0.0336853,0.0732308,0.398686,0.0728222,12.0073,0,0.990923,0,1.5,-2,2.5,7.5
v1011,PDL-Hinf,0.0480273,0.0540467,0.186074,0.748431,0.140361,22.1548,0.055,0.900711,0,1.5,-2,2.5,7.5
v1011,RobustLQR,0.0154055,0.0239377,0.0660331,0.443335,0.100151,11.0556,0,0.966455,0,1.5,-2,2.5,7.5
v1011,Core-CQLF-Hinf,0.0201108,0.0330861,0.0718623,0.40013,0.0776771,12.5319,0,0.989441,0,1.5,-2,2.5,7.5
v1100,Proposed,0.0161521,0.0329885,0.133149,0.590063,0.0957159,12.8603,0.035,0.953019,0,1.5,5,-0.5,3
v1100,NoRelax-ProposedActive,0.0298302,0.0316197,0.109131,0.481583,0.0957892,16.5286,0.07,0.933922,0,1.5,5,-0.5,3
v1100,QS-Hinf,0.0569308,0.0899257,0.151127,0.448753,0.0855185,6.17082,0,0.994538,0,1.5,5,-0.5,3
v1100,PDL-Hinf,0.0441195,0.0507833,0.162842,0.557161,0.232625,20.2946,0.085,0.91254,0,1.5,5,-0.5,3
v1100,RobustLQR,0.0408377,0.0652511,0.123191,0.62407,0.119274,8.81497,0.01,0.97645,0,1.5,5,-0.5,3
v1100,Core-CQLF-Hinf,0.0526517,0.0851878,0.140401,0.469058,0.0896251,6.63058,0,0.993521,0,1.5,5,-0.5,3
v1101,Proposed,0.0122173,0.0142099,0.0556367,0.526976,0.134507,14.7156,0,0.942484,0,1.5,5,-0.5,7.5
v1101,NoRelax-ProposedActive,0.0306255,0.0333476,0.118685,0.637708,0.156078,18.3407,0.01,0.916258,0,1.5,5,-0.5,7.5
v1101,QS-Hinf,0.0265022,0.0436188,0.0688825,0.398686,0.0910386,9.69405,0,0.992635,0,1.5,5,-0.5,7.5
v1101,PDL-Hinf,0.044583,0.0510944,0.200661,0.8,0.216771,21.8467,0.08,0.867991,0,1.5,5,-0.5,7.5
v1101,RobustLQR,0.0239647,0.0351623,0.0592936,0.485753,0.12968,10.5252,0,0.972009,0,1.5,5,-0.5,7.5
v1101,Core-CQLF-Hinf,0.0228863,0.0386372,0.0612919,0.40013,0.0970139,10.269,0,0.991392,0,1.5,5,-0.5,7.5
v1110,Proposed,0.0262779,0.0461256,0.151702,0.40032,0.0525005,10.6333,0.05,0.958445,0,1.5,5,2.5,3
v1110,NoRelax-ProposedActive,0.0323546,0.0368177,0.132751,0.40064,0.0658441,13.8913,0.12,0.936709,0,1.5,5,2.5,3
v1110,QS-Hinf,0.0648346,0.10015,0.160223,0.398686,0.0625945,3.30808,0,0.996047,0,1.5,5,2.5,3
v1110,PDL-Hinf,0.0412543,0.0549373,0.184637,0.401104,0.122288,16.6449,0.16,0.905983,0,1.5,5,2.5,3
v1110,RobustLQR,0.0502273,0.0779744,0.13543,0.46811,0.082206,6.57746,0.01,0.980459,0,1.5,5,2.5,3
v1110,Core-CQLF-Hinf,0.0616114,0.0966504,0.15315,0.40013,0.0648159,3.6752,0,0.995257,0,1.5,5,2.5,3
v1111,Proposed,0.014601,0.0187951,0.0771474,0.517514,0.103317,13.1274,0,0.945062,0,1.5,5,2.5,7.5
v1111,NoRelax-ProposedActive,0.028628,0.0310128,0.0878857,0.622628,0.105756,16.6494,0.02,0.911812,0,1.5,5,2.5,7.5
v1111,QS-Hinf,0.0362357,0.057388,0.0897404,0.398686,0.0663915,6.93999,0,0.993861,0,1.5,5,2.5,7.5
v1111,PDL-Hinf,0.0418708,0.0474127,0.136882,0.674311,0.115316,19.6844,0.055,0.88794,0,1.5,5,2.5,7.5
v1111,RobustLQR,0.0301605,0.0451705,0.0713991,0.426349,0.100382,8.96474,0,0.974448,0,1.5,5,2.5,7.5
v1111,Core-CQLF-Hinf,0.0330166,0.0533154,0.0818141,0.40013,0.0710457,7.47863,0,0.992778,0,1.5,5,2.5,7.5
