Controller,gamma_syn_diag,beta,RMSE_theta,RMSE_theta_max,IAE_theta,peak_theta,peak_theta_mean,peak_u,peak_uabs,energy_u,energy_uabs,energy_z,duty_du,duty_abs,duty_normsat,rho
Proposed,1.50743,3.82573,1.56982,5.00621,6.33998,25.6214,8.06053,0.514735,0.720097,0.0637442,2.31186,9151.64,0,0.655,0.46,0.967661
NoRelax-ProposedActive,5.10264,0,480.124,1520.35,1762.73,8000.03,2525.77,0.602972,0.8,0.0466583,4.22666,8.73181e+08,0,0.9,0.84,0.963735
QS-Hinf,0.460673,,0.153621,0.196161,1.25648,0.408498,0.274334,0.39921,0.527672,0.0374052,1.43575,63.1348,0,0.085,0,0.995895
PDL-Hinf,5.01194,,1134.97,4025.48,4158.05,21185.7,5974.27,0.633656,0.8,0.062393,5.00879,5.96446e+09,0,0.95,0.855,0.958658
RobustLQR,,,0.0285605,0.0619405,0.216313,0.167043,0.0650478,0.426452,0.572624,0.0505766,1.08729,22.5761,0,0.265,0,0.978223
Core-CQLF-Hinf,0.437776,,0.149541,0.190776,1.23486,0.382883,0.263811,0.400122,0.546989,0.0392608,1.48391,62.1596,0,0.105,0,0.99495
